StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,Q4,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q7_17,Q7_18,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q11,Q16,Q21,Q26,Q31,Q36,Q41_First Click,Q41_Last Click,Q41_Page Submit,Q41_Click Count,Q44,Q49,Q54,Q59,Q64,Q69,Q75_First Click,Q75_Last Click,Q75_Page Submit,Q75_Click Count,Q77_First Click,Q77_Last Click,Q77_Page Submit,Q77_Click Count,Q79_First Click,Q79_Last Click,Q79_Page Submit,Q79_Click Count,Q80,Q81_1,Q81_2,Q81_3,Q81_4,Q81_5,Q81_6,Q81_7,Q81_8,Q81_9,Q81_10,Q81_11,Q81_12,Q81_13,Q81_14,Q81_15,Q81_16,Q81_17,Q81_18,Q86,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q92,Q93_First Click,Q93_Last Click,Q93_Page Submit,Q93_Click Count,PROLIFIC_PID,Condition,exposure
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How old are you in years?,What is your gender?,What is the highest level of education you have completed?,"The next set of questions will help us understand your beliefs and values, which may shape your later responses. Please respond honestly regarding your beliefs. - Vaccination is one of the most effective ways to prevent diseases.","The next set of questions will help us understand your beliefs and values, which may shape your later responses. Please respond honestly regarding your beliefs. - Children these days are exposed to a harmful amount of ""screen time"".","The next set of questions will help us understand your beliefs and values, which may shape your later responses. Please respond honestly regarding your beliefs. - Fruit and vegetables produced according to Organic standards are healthier and more nutritious.","The next set of questions will help us understand your beliefs and values, which may shape your later responses. Please respond honestly regarding your beliefs. - Social media platforms like Twitter and Facebook are a force for good.","The next set of questions will help us understand your beliefs and values, which may shape your later responses. Please respond honestly regarding your beliefs. - Diseases had already begun to disappear before vaccines were introduced, because of better hygiene and sanitation.","The next set of questions will help us understand your beliefs and values, which may shape your later responses. Please respond honestly regarding your beliefs. - I believe more people should adopt a vegan diet.","The next set of questions will help us understand your beliefs and values, which may shape your later responses. Please respond honestly regarding your beliefs. - I feel comfortable with future generations inheriting the climate as we're leaving it.","The next set of questions will help us understand your beliefs and values, which may shape your later responses. Please respond honestly regarding your beliefs. - Climate change is a real and concerning issue facing humanity.","The next set of questions will help us understand your beliefs and values, which may shape your later responses. Please respond honestly regarding your beliefs. - Complementary and alternative medicines are a safer alternative to conventional medicine.","The next set of questions will help us understand your beliefs and values, which may shape your later responses. Please respond honestly regarding your beliefs. - I believe in listening to people who are different from me to try and understand them.","The next set of questions will help us understand your beliefs and values, which may shape your later responses. Please respond honestly regarding your beliefs. - 5G communications technology poses significant risks to health.","The next set of questions will help us understand your beliefs and values, which may shape your later responses. Please respond honestly regarding your beliefs. - Complementary and alternative medicines support the body's natural ability to heal.","The next set of questions will help us understand your beliefs and values, which may shape your later responses. Please respond honestly regarding your beliefs. - Asylum protection is an important right for all.","The next set of questions will help us understand your beliefs and values, which may shape your later responses. Please respond honestly regarding your beliefs. - People should avoid consuming Genetically Modified Organisms (GMOs).","The next set of questions will help us understand your beliefs and values, which may shape your later responses. Please respond honestly regarding your beliefs. - Complementary and alternative medicines are ineffective for real health complaints.","The next set of questions will help us understand your beliefs and values, which may shape your later responses. Please respond honestly regarding your beliefs. - Giving a child multiple vaccinations for different diseases at the same time can overload the immune system.","The next set of questions will help us understand your beliefs and values, which may shape your later responses. Please respond honestly regarding your beliefs. - All people deserve free and equal treatment regardless of gender identity, race, sexual orientation.","The next set of questions will help us understand your beliefs and values, which may shape your later responses. Please respond honestly regarding your beliefs. - Global warming is unrelated to human activities.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you think this is trustworthy enough to share?,Do you think this is trustworthy enough to share?,Do you think this is trustworthy enough to share?,Do you think this is trustworthy enough to share?,Do you think this is trustworthy enough to share?,Do you think this is trustworthy enough to share?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you think this is safe to share?,Do you think this is safe to share?,Do you think this is safe to share?,Do you think this is safe to share?,Do you think this is safe to share?,Do you think this is safe to share?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"What did you see in the twitter feed presented?
Would you have any concerns about sharing any of the posts you saw?","We want to re-assess your beliefs after our exercise, so will ask you the same questions from the beginning. Please respond honestly about your beliefs as they are now. - Vaccination is one of the most effective ways to prevent diseases.","We want to re-assess your beliefs after our exercise, so will ask you the same questions from the beginning. Please respond honestly about your beliefs as they are now. - Children these days are exposed to a harmful amount of ""screen time"".","We want to re-assess your beliefs after our exercise, so will ask you the same questions from the beginning. Please respond honestly about your beliefs as they are now. - Fruit and vegetables produced according to Organic standards are healthier and more nutritious.","We want to re-assess your beliefs after our exercise, so will ask you the same questions from the beginning. Please respond honestly about your beliefs as they are now. - Social media platforms like Twitter and Facebook are a force for good.","We want to re-assess your beliefs after our exercise, so will ask you the same questions from the beginning. Please respond honestly about your beliefs as they are now. - Diseases had already begun to disappear before vaccines were introduced, because of better hygiene and sanitation.","We want to re-assess your beliefs after our exercise, so will ask you the same questions from the beginning. Please respond honestly about your beliefs as they are now. - I believe more people should adopt a vegan diet.","We want to re-assess your beliefs after our exercise, so will ask you the same questions from the beginning. Please respond honestly about your beliefs as they are now. - I feel comfortable with future generations inheriting the climate as we're leaving it.","We want to re-assess your beliefs after our exercise, so will ask you the same questions from the beginning. Please respond honestly about your beliefs as they are now. - Climate change is a real and concerning issue facing humanity.","We want to re-assess your beliefs after our exercise, so will ask you the same questions from the beginning. Please respond honestly about your beliefs as they are now. - Complementary and alternative medicines are a safer alternative to conventional medicine.","We want to re-assess your beliefs after our exercise, so will ask you the same questions from the beginning. Please respond honestly about your beliefs as they are now. - I believe in listening to people who are different from me to try and understand them.","We want to re-assess your beliefs after our exercise, so will ask you the same questions from the beginning. Please respond honestly about your beliefs as they are now. - 5G communications technology poses significant risks to health.","We want to re-assess your beliefs after our exercise, so will ask you the same questions from the beginning. Please respond honestly about your beliefs as they are now. - Complementary and alternative medicines support the body's natural ability to heal.","We want to re-assess your beliefs after our exercise, so will ask you the same questions from the beginning. Please respond honestly about your beliefs as they are now. - Asylum protection is an important right for all.","We want to re-assess your beliefs after our exercise, so will ask you the same questions from the beginning. Please respond honestly about your beliefs as they are now. - People should avoid consuming Genetically Modified Organisms (GMOs).","We want to re-assess your beliefs after our exercise, so will ask you the same questions from the beginning. Please respond honestly about your beliefs as they are now. - Complementary and alternative medicines are ineffective for real health complaints.","We want to re-assess your beliefs after our exercise, so will ask you the same questions from the beginning. Please respond honestly about your beliefs as they are now. - Giving a child multiple vaccinations for different diseases at the same time can overload the immune system.","We want to re-assess your beliefs after our exercise, so will ask you the same questions from the beginning. Please respond honestly about your beliefs as they are now. - All people deserve free and equal treatment regardless of gender identity, race, sexual orientation.","We want to re-assess your beliefs after our exercise, so will ask you the same questions from the beginning. Please respond honestly about your beliefs as they are now. - Global warming is unrelated to human activities.","If you have any feedback on this study, please feel free to provide it below.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"If you have any feedback on this study, please feel free to provide it below.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,PROLIFIC_PID,Condition,exposure
"{""ImportId"":""startDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID120_FIRST_CLICK""}","{""ImportId"":""QID120_LAST_CLICK""}","{""ImportId"":""QID120_PAGE_SUBMIT""}","{""ImportId"":""QID120_CLICK_COUNT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID49_5""}","{""ImportId"":""QID49_6""}","{""ImportId"":""QID49_7""}","{""ImportId"":""QID49_8""}","{""ImportId"":""QID49_9""}","{""ImportId"":""QID49_10""}","{""ImportId"":""QID49_11""}","{""ImportId"":""QID49_12""}","{""ImportId"":""QID49_13""}","{""ImportId"":""QID49_14""}","{""ImportId"":""QID49_15""}","{""ImportId"":""QID49_16""}","{""ImportId"":""QID49_17""}","{""ImportId"":""QID49_18""}","{""ImportId"":""QID102_FIRST_CLICK""}","{""ImportId"":""QID102_LAST_CLICK""}","{""ImportId"":""QID102_PAGE_SUBMIT""}","{""ImportId"":""QID102_CLICK_COUNT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID21""}","{""ImportId"":""QID18""}","{""ImportId"":""QID24""}","{""ImportId"":""QID27""}","{""ImportId"":""QID30""}","{""ImportId"":""QID101_FIRST_CLICK""}","{""ImportId"":""QID101_LAST_CLICK""}","{""ImportId"":""QID101_PAGE_SUBMIT""}","{""ImportId"":""QID101_CLICK_COUNT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID33""}","{""ImportId"":""QID39""}","{""ImportId"":""QID42""}","{""ImportId"":""QID45""}","{""ImportId"":""QID48""}","{""ImportId"":""QID98_FIRST_CLICK""}","{""ImportId"":""QID98_LAST_CLICK""}","{""ImportId"":""QID98_PAGE_SUBMIT""}","{""ImportId"":""QID98_CLICK_COUNT""}","{""ImportId"":""QID99_FIRST_CLICK""}","{""ImportId"":""QID99_LAST_CLICK""}","{""ImportId"":""QID99_PAGE_SUBMIT""}","{""ImportId"":""QID99_CLICK_COUNT""}","{""ImportId"":""QID100_FIRST_CLICK""}","{""ImportId"":""QID100_LAST_CLICK""}","{""ImportId"":""QID100_PAGE_SUBMIT""}","{""ImportId"":""QID100_CLICK_COUNT""}","{""ImportId"":""QID112_TEXT""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID51_2""}","{""ImportId"":""QID51_3""}","{""ImportId"":""QID51_4""}","{""ImportId"":""QID51_5""}","{""ImportId"":""QID51_6""}","{""ImportId"":""QID51_7""}","{""ImportId"":""QID51_8""}","{""ImportId"":""QID51_9""}","{""ImportId"":""QID51_10""}","{""ImportId"":""QID51_11""}","{""ImportId"":""QID51_12""}","{""ImportId"":""QID51_13""}","{""ImportId"":""QID51_14""}","{""ImportId"":""QID51_15""}","{""ImportId"":""QID51_16""}","{""ImportId"":""QID51_17""}","{""ImportId"":""QID51_18""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID121_FIRST_CLICK""}","{""ImportId"":""QID121_LAST_CLICK""}","{""ImportId"":""QID121_PAGE_SUBMIT""}","{""ImportId"":""QID121_CLICK_COUNT""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID122_FIRST_CLICK""}","{""ImportId"":""QID122_LAST_CLICK""}","{""ImportId"":""QID122_PAGE_SUBMIT""}","{""ImportId"":""QID122_CLICK_COUNT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""Condition""}","{""ImportId"":""exposure""}"
2020-08-19 10:23:50,2020-08-19 10:32:02,0,100,491,1,2020-08-19 10:32:03,R_1rGpOOJGlyZ2eLr,anonymous,EN-GB,0.842,129.662,130.743,49,32,Male,5,7,6,2,5,1,5,3,5,2,5,1,3,6,2,5,2,6,3,,,,,,,,,,,2.646,27.029,28.911,10,1,2,1,2,2,1,,,,,,,,,4.517,27.068,28.28,10,"The tiger and vaccine tweets 
",7,6,2,5,2,5,3,5,2,6,1,2,6,2,6,2,6,3,,,,,,,3.411,12.323,13.655,2,,control,vax
2020-08-19 10:26:52,2020-08-19 10:34:43,0,100,470,1,2020-08-19 10:34:43,R_pMXVUUrIgpHlJo5,anonymous,EN-GB,1.501,108.273,109.67,35,53,Male,3,7,5,4,4,5,3,4,4,5,5,1,5,3,7,3,2,7,5,3.404,6.267,8.351,4,1,2,1,1,2,1,,,,,,,,,,,9.446,29.468,30.266,4,,,,,,,,,Yeah wouldn't share any,7,7,4,4,5,3,5,3,5,6,1,5,3,7,4,2,7,4,,4.372,4.372,6.101,1,,,,,,,intervention,cam
2020-08-19 10:27:11,2020-08-19 10:38:28,0,100,676,1,2020-08-19 10:38:28,R_3syOAJVBjoqfHwc,anonymous,EN-GB,2.434,140.551,142.826,25,37,Male,5,7,4,5,4,1,3,2,7,2,7,2,3,7,4,5,2,7,2,,,,,,,,,,,0,0,26.804,0,2,2,1,2,2,1,,,,,,,,,0,0,18.739,0,"The simple recipe for peanut butter and chocolate cookies is reasonable to share. The PETA post and the anti-vaxxer post are clearly polarising and not useful in a broader, reasoned discussion of the topics. These should not be distributed.",7,4,5,4,2,3,2,7,2,7,2,3,7,2,5,2,7,2,,,,,,,14.911,14.911,32.656,1,,control,vax
2020-08-19 10:24:48,2020-08-19 10:41:23,0,100,995,1,2020-08-19 10:41:23,R_3KTLnm2nkxUKvYq,anonymous,EN-GB,0.918,123.18,123.926,30,18,Male,2,7,5,4,3,6,7,1,7,1,7,1,2,5,2,6,4,7,2,,,,,,,,,,,0,0,29.587,0,1,2,1,2,2,1,0,0,30.056,0,,,,,,,,,"1. A post by an animal rights activism organisation depicting a tiger being forced to jump through rings of fire for peoples' entertainment. That it doesn't want to jump through the rings is presented as truth when we can't really know. It's fine to share but it anthropomorphises the tiger and implies things that don't seem to be verified, or even verifiable, although it is reasonable to assume that the tiger would have better welfare in the wild outside of human captivity.

2. A homeopathy page advocating for the efficacy of alternative medicine with reference to a study conducted by the Northern Irish government. We don't know whether the study is legitimate, whether it has been published by a peer-reviewed journal or whether it exists at all from the tweet alone. Not safe to share without further knowledge.

3. A photo of some sort of desert. No concerns.",7,5,4,4,7,7,1,7,1,7,1,4,5,2,5,4,7,2,,,,,,,0,0,28.86,0,,control,cam
2020-08-19 10:32:52,2020-08-19 10:41:26,0,100,513,1,2020-08-19 10:41:26,R_1LAqbadyujQnYPf,anonymous,EN-GB,1.742,98.115,99.315,23,18,Female,2,6,7,6,3,6,5,1,7,4,7,4,5,6,7,6,4,7,1,0,0,29.68,0,1,2,1,2,2,1,,,,,,,,,,,,,,,,,,,0,0,23.632,0,"I saw a 3 posts, one referring to tigers being forced to jump through hoops, I found that post very opinionated and therefore not reliable. Secondly a person was sharing their opinions on a scientific discussion regarding Aluminium, this post had a link to an article which increases its reliability but its constant use of hashtags makes it not reliable, finally it was someone baking a tart including oreos, I thought it was cool :) ",7,7,7,3,6,5,2,7,5,6,4,5,5,6,4,6,7,1,,20.359,20.359,22.911,1,,,,,,,intervention,vax
2020-08-19 10:30:15,2020-08-19 10:42:31,0,100,735,1,2020-08-19 10:42:33,R_wSRuBTihklUEVPj,anonymous,EN-GB,1.209,114.416,115.553,51,24,Male,5,7,6,6,4,2,2,1,7,2,7,2,2,7,4,6,2,7,1,1.735,20.627,37.228,9,2,2,1,2,1,1,,,,,,,,,,,2.024,24.204,24.753,9,,,,,,,,,"Peta have a clear conflict of interest and are well known for providing completely misleading information to further their agenda. I would never share anything from Peta

The Homeopathy tweet also has a conflict of interest and I do not believe the claims in it.

The Land of Food tweet I also don't believe because it looks somewhat photoshopped. Also a brand collaboration between those companies doesn't seem too likely as I think they're owned by different conglomerates
 ",7,6,6,4,2,2,1,7,2,7,1,2,7,3,2,2,7,1,I like the idea of this this study particularly in the present world where conspiracy groups and misinformation seems prevalent during Covid 19. Best of luck with your study,6.169,79.774,81.963,7,,,,,,,intervention,cam
2020-08-19 10:45:19,2020-08-19 10:53:25,0,100,485,1,2020-08-19 10:53:25,R_1mpYGqeJt5F6XGe,anonymous,EN-GB,0.837,107.553,108.612,43,41,Female,5,5,6,6,4,3,4,2,4,5,6,7,4,4,4,4,7,6,4,,,,,,,,,,,7.229,8.062,19.883,2,1,2,1,1,1,1,1.378,23.615,25.035,11,,,,,,,,,"I saw Oreo cupcakes that looked great, an article about alternative therapies being good for the well-being and an article about tigers being mistreated in the circus. The Tiger article was really upsetting and I won’t share it.",5,6,4,4,2,4,2,4,4,6,7,4,6,4,4,7,6,2,,,,,,,0.662,3.266,4.323,3,,control,cam
2020-08-19 10:47:50,2020-08-19 10:54:32,0,100,402,1,2020-08-19 10:54:33,R_24I5Huvzxg05ROu,anonymous,EN-GB,0.997,84.847,86.484,25,32,Female,5,7,5,4,2,2,1,3,6,1,6,4,4,6,3,5,2,4,3,,,,,,,,,,,0,0,12.931,0,1,2,1,2,2,1,,,,,,,,,0,0,21.282,0,"A post from PETA about tiger hardships, a post about aluminium in vaccines being harmful, a post about a recipe.

The post about aluminium in vaccines would spread the idea that vaccines are unsafe and may be harmful to others.",7,5,4,2,2,2,3,5,2,6,4,4,6,4,5,2,3,3,,,,,,,0,0,12.78,0,,control,vax
