dataset_pos,name_raw,name_clean,item_text,type,response_min,response_max,response_labels,units,reverse,scale,factor,citation
1,start_date,start_date,Start Date,POSIXct,,,,,,,,
2,end_date,end_date,End Date,POSIXct,,,,,,,,
3,status,status,Response Type,integer,,,,,,,,
4,ip_address,ip_address,IP Address,integer,,,,,,,,
5,progress,progress,Progress,integer,,,,,,,,
6,duration_in_seconds,duration,Duration (in seconds),integer,,,,,,,,
7,finished,finished,Finished,integer,,,,,,,,
8,recorded_date,recorded_date,Recorded Date,POSIXct,,,,,,,,
9,response_id,response_id,Response ID,character,,,,,,,,
10,recipient_last_name,last_name,Recipient Last Name,character,,,,,,,,
11,recipient_first_name,first_name,Recipient First Name,character,,,,,,,,
12,recipient_email,email,Recipient Email,character,,,,,,,,
13,external_reference,external_reference,External Data Reference,character,,,,,,,,
14,location_latitude,location_latitude,Location Latitude,coordinates ,,,,,,,,
15,location_longitude,location_longitude,Location Longitude,coordinates ,,,,,,,,
16,distribution_channel,distribution_channel,Distribution Channel,character,,,,,,,,
17,user_language,language,User Language,character,,,,,,,,
18,q2_first_click,demographics_pre_first_click,Timing - First Click,double,,,,,,,,
19,q2_last_click,demographics_pre_last_click,Timing - Last Click,double,,,,,,,,
20,q2_page_submit,demographics_pre_submit,Timing - Page Submit,double,,,,,,,,
21,q2_click_count,demographics_pre_click_count,Timing - Click Count,integer,,,,,,,,
22,q4,age,How old are you in years?,integer,18,100,,,,,,
23,q5,gender,What is your gender?,character,,,,,,,,
24,q6,education,What is the highest level of education you have completed?,integer,1,7,"less than high/secondary school =1, high/secondary school grad=2, technical/trade school diploma=3, associate degree=4, bachelors degree=5, professional degree=6, doctorate=7",,,,,
25,q7_1,vax1_pre, Vaccination is one of the most effective ways to prevent diseases.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,yes,antivax,,
26,q7_2,tech1_pre," Children these days are exposed to a harmful amount of ""screen time"".",integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,antitech,,
27,q7_3,diet1_pre, Fruit and vegetables produced according to Organic standards are healthier and more nutritious.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,gmo_organic,,
28,q7_4,tech2_pre, Social media platforms like Twitter and Facebook are a force for good.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,yes,antitech,,
29,q7_5,vax2_pre," Diseases had already begun to disappear before vaccines were introduced, because of better hygiene and sanitation.",integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,antivax,,
30,q7_6,diet2_pre, I believe more people should adopt a vegan diet.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,yes,gmo_organic,,
31,q7_7,cc1_pre, I feel comfortable with future generations inheriting the climate as we're leaving it.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,cc_denial,,"Leiserowitz, A., Maibach, E., Rosenthal, S., & Kotcher, J. (2019). Climate Change in the American Mind: April 2019. https://doi.org/10.17605/OSF.IO/CJ2NS"
32,q7_8,cc2_pre, Climate change is a real and concerning issue facing humanity.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,yes,cc_denial,,"Leiserowitz, A., Maibach, E., Rosenthal, S., & Kotcher, J. (2019). Climate Change in the American Mind: April 2019. https://doi.org/10.17605/OSF.IO/CJ2NS"
33,q7_9,cam1_pre, Complementary and alternative medicines are a safer alternative to conventional medicine.,integer,1,7,"strongly disagree=1, disagree=2, somewhat disagree=3, neither=4, somewhat agree=5, agree=6, strongly agree=7",,no,pro_cam,,
